fixture_id,season,date,home_team,away_team,home_ppg,away_ppg,ppg_diff,home_matches_played,away_matches_played,home_form,away_form,form_diff,h2h_diff,h2h_matches,result
865835,2022,2022-08-20T15:00:00+00:00,Hapoel Haifa,Hapoel Tel Aviv,,,,0,0,,,,0.0,0,H
865840,2022,2022-08-20T16:00:00+00:00,Hapoel Katamon,Hapoel Hadera,,,,0,0,,,,0.0,0,D
865837,2022,2022-08-20T17:15:00+00:00,Maccabi Netanya,Beitar Jerusalem,,,,0,0,,,,0.0,0,H
865841,2022,2022-08-21T17:15:00+00:00,Maccabi Tel Aviv,Maccabi Bnei Raina,,,,0,0,,,,0.0,0,H
865839,2022,2022-08-22T16:00:00+00:00,Sektzia Nes Tziona,Ironi Kiryat Shmona,,,,0,0,,,,0.0,0,A
865844,2022,2022-08-27T15:00:00+00:00,Ironi Kiryat Shmona,Hapoel Katamon,3.0,1.0,2.0,1,1,2.8929,0.9643,1.9286,0.0,0,D
865848,2022,2022-08-27T16:15:00+00:00,Hapoel Tel Aviv,Bnei Sakhnin,0.0,,,1,0,0.0,,,0.0,0,A
865847,2022,2022-08-27T17:00:00+00:00,Maccabi Haifa,Maccabi Netanya,,3.0,,0,1,,2.9842,,0.0,0,H
865845,2022,2022-08-27T17:15:00+00:00,Ashdod,Sektzia Nes Tziona,,0.0,,0,1,,0.0,,0.0,0,H
865842,2022,2022-08-28T16:15:00+00:00,Maccabi Bnei Raina,Hapoel Haifa,0.0,3.0,-3.0,1,1,0.0,2.916,-2.916,0.0,0,D
865846,2022,2022-08-28T17:15:00+00:00,Beitar Jerusalem,Hapoel Beer Sheva,0.0,,,1,0,0.0,,,0.0,0,A
865843,2022,2022-08-29T17:15:00+00:00,Hapoel Hadera,Maccabi Tel Aviv,1.0,3.0,-2.0,1,1,0.99,2.97,-1.98,0.0,0,A
865836,2022,2022-08-30T17:15:00+00:00,Bnei Sakhnin,Maccabi Haifa,3.0,3.0,0.0,1,1,3.0,6.5455,-3.5455,0.0,0,A
865838,2022,2022-08-31T16:45:00+00:00,Hapoel Beer Sheva,Ashdod,3.0,3.0,0.0,1,1,3.0,3.0,0.0,0.0,0,A
865854,2022,2022-09-03T15:00:00+00:00,Maccabi Tel Aviv,Ironi Kiryat Shmona,3.0,2.0,1.0,2,2,2.4889,1.6912,0.7977,0.0,0,H
865853,2022,2022-09-03T16:00:00+00:00,Hapoel Katamon,Ashdod,1.0,3.0,-2.0,2,2,1.619,4.9048,-3.2857,0.0,0,H
865849,2022,2022-09-03T17:00:00+00:00,Hapoel Haifa,Bnei Sakhnin,2.0,1.5,0.5,2,2,1.8356,1.3333,0.5022,0.0,0,A
865851,2022,2022-09-03T17:15:00+00:00,Hapoel Beer Sheva,Maccabi Haifa,1.5,3.0,-1.5,2,2,1.3333,6.375,-5.0417,0.0,0,A
865855,2022,2022-09-04T16:00:00+00:00,Maccabi Bnei Raina,Hapoel Hadera,0.5,0.5,0.0,2,2,1.1765,0.4235,0.7529,0.0,0,A
865852,2022,2022-09-04T17:15:00+00:00,Sektzia Nes Tziona,Beitar Jerusalem,0.0,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0,A
865850,2022,2022-09-05T17:15:00+00:00,Maccabi Netanya,Hapoel Tel Aviv,1.5,0.0,1.5,2,2,1.2632,0.0,1.2632,0.0,0,A
865860,2022,2022-09-10T15:00:00+00:00,Maccabi Haifa,Sektzia Nes Tziona,3.0,0.0,3.0,3,3,5.009,0.0,5.009,0.0,0,H
865856,2022,2022-09-10T16:30:00+00:00,Hapoel Hadera,Hapoel Haifa,1.3333,1.3333,0.0,3,3,0.6767,1.0698,-0.3931,0.0,0,D
865862,2022,2022-09-10T16:30:00+00:00,Bnei Sakhnin,Maccabi Netanya,2.0,1.0,1.0,3,3,2.5271,0.7518,1.7753,0.0,0,D
865858,2022,2022-09-10T17:15:00+00:00,Ashdod,Maccabi Tel Aviv,2.0,3.0,-1.0,3,3,2.9009,3.2274,-0.3265,0.0,0,D
865857,2022,2022-09-11T16:00:00+00:00,Ironi Kiryat Shmona,Maccabi Bnei Raina,1.3333,0.3333,1.0,3,3,1.0074,0.7128,0.2946,0.0,0,D
865861,2022,2022-09-11T17:15:00+00:00,Hapoel Tel Aviv,Hapoel Beer Sheva,1.0,1.0,0.0,3,3,1.3507,0.7869,0.5638,0.0,0,A
865859,2022,2022-09-12T17:30:00+00:00,Beitar Jerusalem,Hapoel Katamon,1.0,1.6667,-0.6667,3,3,1.2295,3.6678,-2.4383,0.0,0,A
865865,2022,2022-09-17T15:00:00+00:00,Sektzia Nes Tziona,Hapoel Tel Aviv,0.0,0.75,-0.75,4,4,0.0,0.8869,-0.8869,0.0,0,H
865868,2022,2022-09-17T16:30:00+00:00,Maccabi Bnei Raina,Ashdod,0.5,1.75,-1.25,4,4,0.799,2.6717,-1.8727,0.0,0,D
865863,2022,2022-09-17T17:00:00+00:00,Hapoel Haifa,Maccabi Netanya,1.25,1.0,0.25,4,4,1.0613,1.0097,0.0516,0.0,0,D
865867,2022,2022-09-17T17:30:00+00:00,Maccabi Tel Aviv,Beitar Jerusalem,2.5,0.75,1.75,4,4,2.6987,0.813,1.8857,0.0,0,H
865869,2022,2022-09-18T16:00:00+00:00,Hapoel Hadera,Ironi Kiryat Shmona,1.25,1.25,0.0,4,4,0.8035,0.7593,0.0443,0.0,0,D
865864,2022,2022-09-18T17:00:00+00:00,Hapoel Beer Sheva,Bnei Sakhnin,1.5,1.75,-0.25,4,4,1.274,1.9773,-0.7034,0.0,0,H
865866,2022,2022-09-18T17:15:00+00:00,Hapoel Katamon,Maccabi Haifa,2.0,3.0,-1.0,4,4,3.2077,4.5136,-1.3059,0.0,0,H
865870,2022,2022-10-01T15:00:00+00:00,Ironi Kiryat Shmona,Hapoel Haifa,1.2,1.2,0.0,5,5,0.8083,0.9689,-0.1606,0.0,0,D
865871,2022,2022-10-01T16:15:00+00:00,Ashdod,Hapoel Hadera,1.6,1.2,0.4,5,5,2.0234,0.8456,1.1778,0.0,0,D
865876,2022,2022-10-01T17:00:00+00:00,Maccabi Netanya,Hapoel Beer Sheva,1.0,1.8,-0.8,5,5,1.0026,2.0666,-1.064,0.0,0,A
865873,2022,2022-10-01T17:30:00+00:00,Maccabi Haifa,Maccabi Tel Aviv,2.4,2.6,-0.2,5,5,3.1907,2.4126,0.7781,0.0,0,H
865875,2022,2022-10-02T16:00:00+00:00,Bnei Sakhnin,Sektzia Nes Tziona,1.4,0.6,0.8,5,5,1.3909,0.4972,0.8937,0.0,0,H
865874,2022,2022-10-02T17:15:00+00:00,Hapoel Tel Aviv,Hapoel Katamon,0.6,2.2,-1.6,5,5,0.6346,4.2416,-3.607,0.0,0,A
865872,2022,2022-10-03T17:15:00+00:00,Beitar Jerusalem,Maccabi Bnei Raina,0.6,0.6,0.0,5,5,0.5712,0.9565,-0.3854,0.0,0,A
865878,2022,2022-10-08T15:00:00+00:00,Sektzia Nes Tziona,Maccabi Netanya,0.5,0.8333,-0.3333,6,6,0.3945,0.4998,-0.1052,0.0,0,D
