fixture_id,season,date,round,status,home_team,home_team_id,away_team,away_team_id,home_goals,away_goals
865835,2022,2022-08-20T15:00:00+00:00,Regular Season - 1,FT,Hapoel Haifa,2253,Hapoel Tel Aviv,4501,2,0
865840,2022,2022-08-20T16:00:00+00:00,Regular Season - 1,FT,Hapoel Katamon,4486,Hapoel Hadera,4500,1,1
865837,2022,2022-08-20T17:15:00+00:00,Regular Season - 1,FT,Maccabi Netanya,4505,Beitar Jerusalem,657,4,1
865841,2022,2022-08-21T17:15:00+00:00,Regular Season - 1,FT,Maccabi Tel Aviv,604,Maccabi Bnei Raina,6186,5,0
865839,2022,2022-08-22T16:00:00+00:00,Regular Season - 1,FT,Sektzia Nes Tziona,4499,Ironi Kiryat Shmona,4510,0,2
865844,2022,2022-08-27T15:00:00+00:00,Regular Season - 2,FT,Ironi Kiryat Shmona,4510,Hapoel Katamon,4486,1,1
865848,2022,2022-08-27T16:15:00+00:00,Regular Season - 2,FT,Hapoel Tel Aviv,4501,Bnei Sakhnin,4481,0,2
865847,2022,2022-08-27T17:00:00+00:00,Regular Season - 2,FT,Maccabi Haifa,4195,Maccabi Netanya,4505,4,1
865845,2022,2022-08-27T17:15:00+00:00,Regular Season - 2,FT,Ashdod,4507,Sektzia Nes Tziona,4499,1,0
865842,2022,2022-08-28T16:15:00+00:00,Regular Season - 2,FT,Maccabi Bnei Raina,6186,Hapoel Haifa,2253,1,1
865846,2022,2022-08-28T17:15:00+00:00,Regular Season - 2,FT,Beitar Jerusalem,657,Hapoel Beer Sheva,563,0,5
865843,2022,2022-08-29T17:15:00+00:00,Regular Season - 2,FT,Hapoel Hadera,4500,Maccabi Tel Aviv,604,0,6
865836,2022,2022-08-30T17:15:00+00:00,Regular Season - 1,FT,Bnei Sakhnin,4481,Maccabi Haifa,4195,0,1
865838,2022,2022-08-31T16:45:00+00:00,Regular Season - 1,FT,Hapoel Beer Sheva,563,Ashdod,4507,1,2
865854,2022,2022-09-03T15:00:00+00:00,Regular Season - 3,FT,Maccabi Tel Aviv,604,Ironi Kiryat Shmona,4510,3,1
865853,2022,2022-09-03T16:00:00+00:00,Regular Season - 3,FT,Hapoel Katamon,4486,Ashdod,4507,3,0
865849,2022,2022-09-03T17:00:00+00:00,Regular Season - 3,FT,Hapoel Haifa,2253,Bnei Sakhnin,4481,1,2
865851,2022,2022-09-03T17:15:00+00:00,Regular Season - 3,FT,Hapoel Beer Sheva,563,Maccabi Haifa,4195,1,2
865855,2022,2022-09-04T16:00:00+00:00,Regular Season - 3,FT,Maccabi Bnei Raina,6186,Hapoel Hadera,4500,1,2
865852,2022,2022-09-04T17:15:00+00:00,Regular Season - 3,FT,Sektzia Nes Tziona,4499,Beitar Jerusalem,657,0,3
865850,2022,2022-09-05T17:15:00+00:00,Regular Season - 3,FT,Maccabi Netanya,4505,Hapoel Tel Aviv,4501,0,2
865860,2022,2022-09-10T15:00:00+00:00,Regular Season - 4,FT,Maccabi Haifa,4195,Sektzia Nes Tziona,4499,3,1
865856,2022,2022-09-10T16:30:00+00:00,Regular Season - 4,FT,Hapoel Hadera,4500,Hapoel Haifa,2253,1,1
865862,2022,2022-09-10T16:30:00+00:00,Regular Season - 4,FT,Bnei Sakhnin,4481,Maccabi Netanya,4505,0,0
865858,2022,2022-09-10T17:15:00+00:00,Regular Season - 4,FT,Ashdod,4507,Maccabi Tel Aviv,604,0,0
865857,2022,2022-09-11T16:00:00+00:00,Regular Season - 4,FT,Ironi Kiryat Shmona,4510,Maccabi Bnei Raina,6186,1,1
865861,2022,2022-09-11T17:15:00+00:00,Regular Season - 4,FT,Hapoel Tel Aviv,4501,Hapoel Beer Sheva,563,2,3
865859,2022,2022-09-12T17:30:00+00:00,Regular Season - 4,FT,Beitar Jerusalem,657,Hapoel Katamon,4486,0,1
865865,2022,2022-09-17T15:00:00+00:00,Regular Season - 5,FT,Sektzia Nes Tziona,4499,Hapoel Tel Aviv,4501,4,3
865868,2022,2022-09-17T16:30:00+00:00,Regular Season - 5,FT,Maccabi Bnei Raina,6186,Ashdod,4507,1,1
865863,2022,2022-09-17T17:00:00+00:00,Regular Season - 5,FT,Hapoel Haifa,2253,Maccabi Netanya,4505,0,0
865867,2022,2022-09-17T17:30:00+00:00,Regular Season - 5,FT,Maccabi Tel Aviv,604,Beitar Jerusalem,657,4,0
865869,2022,2022-09-18T16:00:00+00:00,Regular Season - 5,FT,Hapoel Hadera,4500,Ironi Kiryat Shmona,4510,1,1
865864,2022,2022-09-18T17:00:00+00:00,Regular Season - 5,FT,Hapoel Beer Sheva,563,Bnei Sakhnin,4481,1,0
865866,2022,2022-09-18T17:15:00+00:00,Regular Season - 5,FT,Hapoel Katamon,4486,Maccabi Haifa,4195,3,0
865870,2022,2022-10-01T15:00:00+00:00,Regular Season - 6,FT,Ironi Kiryat Shmona,4510,Hapoel Haifa,2253,1,1
865871,2022,2022-10-01T16:15:00+00:00,Regular Season - 6,FT,Ashdod,4507,Hapoel Hadera,4500,1,1
865876,2022,2022-10-01T17:00:00+00:00,Regular Season - 6,FT,Maccabi Netanya,4505,Hapoel Beer Sheva,563,1,2
865873,2022,2022-10-01T17:30:00+00:00,Regular Season - 6,FT,Maccabi Haifa,4195,Maccabi Tel Aviv,604,2,0
865875,2022,2022-10-02T16:00:00+00:00,Regular Season - 6,FT,Bnei Sakhnin,4481,Sektzia Nes Tziona,4499,2,0
865874,2022,2022-10-02T17:15:00+00:00,Regular Season - 6,FT,Hapoel Tel Aviv,4501,Hapoel Katamon,4486,1,3
865872,2022,2022-10-03T17:15:00+00:00,Regular Season - 6,FT,Beitar Jerusalem,657,Maccabi Bnei Raina,6186,2,3
865878,2022,2022-10-08T15:00:00+00:00,Regular Season - 7,FT,Sektzia Nes Tziona,4499,Maccabi Netanya,4505,1,1
865879,2022,2022-10-08T16:00:00+00:00,Regular Season - 7,FT,Hapoel Katamon,4486,Bnei Sakhnin,4481,1,2
865882,2022,2022-10-08T16:30:00+00:00,Regular Season - 7,FT,Hapoel Hadera,4500,Beitar Jerusalem,657,2,1
865881,2022,2022-10-08T17:15:00+00:00,Regular Season - 7,FT,Maccabi Bnei Raina,6186,Maccabi Haifa,4195,1,0
865883,2022,2022-10-10T16:00:00+00:00,Regular Season - 7,FT,Ironi Kiryat Shmona,4510,Ashdod,4507,1,1
865968,2022,2022-10-10T17:00:00+00:00,Regular Season - 7,FT,Hapoel Beer Sheva,563,Hapoel Haifa,2253,2,2
865880,2022,2022-10-10T17:30:00+00:00,Regular Season - 7,FT,Maccabi Tel Aviv,604,Hapoel Tel Aviv,4501,3,0
865887,2022,2022-10-15T14:30:00+00:00,Regular Season - 8,FT,Hapoel Tel Aviv,4501,Maccabi Bnei Raina,6186,2,0
865884,2022,2022-10-15T16:00:00+00:00,Regular Season - 8,FT,Ashdod,4507,Hapoel Haifa,2253,4,0
